company_location,company_name,description,title
"McLean, VA",Gannett,"Part-time, InternshipABOUT GANNETT

Gannett Co., Inc. (NYSE: GCI) is an innovative, digitally focused media and marketing solutions company committed to strengthening communities across our network. With an unmatched local-to-national reach, Gannett touches the lives of more than 110 million people monthly with our Pulitzer-Prize winning content, consumer experiences and benefits, and advertiser products and services. Gannett brands include USA TODAY NETWORK with the iconic USA TODAY and more than 100 local media brands, digital marketing services companies ReachLocal and SweetIQ, and U.K. media company Newsquest. To connect with us, visit www.gannett.com.

About Our Team

Data Platform team manages a large Data Lake built on AWS cloud. It is responsible for ingesting small / medium / large data sets from internal and external data sources and enable unified access to its stakeholders such as Business Intelligence team, consumer marketing team, and product management team. Data Platform team’s technical stack includes

Data Platform team manages a large Data Lake built on AWS cloud. It is responsible for ingesting small / medium / large data sets from internal and external data sources and enable unified access to its stakeholders such as Business Intelligence team, consumer marketing team, and product management team. Data Platform team’s technical stack includes


Big Data - Apache Spark, Hadoop, Presto, Apache Hive, Google BigTable
Data Warehouse - Redshift, Redshift Spectrum, Google BigQuery
Workflow - Apache Airflow
Languages - Scala, Python, and Java

Responsibilities


Collaborate with Data Engineers on a daily basis using tools such as GitHub, Confluence, and JIRA
Learn Apache Airflow tool and help migrate all workflows to Apache Airflow
Help develop enhancements to our existing Data Mapping tool to allow stakeholders to map critical data entities
Help develop a Data Quality tool that gathers and reports critical metrics on workflows

#INTERNSHIP
#LI-AR1

Gannett Co., Inc. (NYSE: GCI) is a proud equal opportunity employer. We are a drug free, EEO employer committed to a diverse workforce. We will consider all qualified candidates regardless of race, color, national origin, sex, age, marital status, personal appearance, sexual orientation, gender identity, family responsibilities, disability, education, political affiliation or veteran status. Connect with us on LinkedIn, Twitter, Facebook, Glassdoor, Indeed& TheMuse to learn more about our dynamic company culture!",Data Analyst Intern
"San Francisco, CA 94107",Granular,"InternshipMore than 7 billion people depend on farms for healthy and affordable food. By 2050, the global population will reach 9.4 billion and farmers will need new ways to deliver on this demand. They'll be seeking options that are economically viable and that will help them remain environmentally sustainable. Granular's software meets this need, making farmers more efficient.

We're growing quickly and looking for a Summer Intern to build out a database on our high-achieving and fast-moving employees. In this role, you'll be responsible for supporting the entire People Operations (POPs) team, by researching and creating resources around workforce data and information.

Your main responsibility will be to organize existing company data and produce recommendations that will have a measurable impact on Granular. You'll receive a list of potential projects from the POPs team to evaluate. With this project list, it'll be your responsibility to better understand each problem by discussing with the relevant stakeholders. After assessing the needs of the stakeholders, you'll be responsible for the full cycle of development from initial data exploration to (if applicable) putting a model into production. (During the cycle, you'll receiving coaching from POPs managers and some support from our awesome Data Science team.)

Additionally, you may identify, research, and develop solutions for employee knowledge and skills gaps. You'll work with the Learning & Development manager, while collaborating with other managers, to gather data, design visualizations and present recommendations. For this work, you'll need to be an energetic, positive, creative, and performance-driven self-starter who can work independently.

What You'll Get To Do:

Support our POPs team by collecting, researching, and analyzing current data on employee engagement, choices, performance, and skills
Partner with internal stakeholders to understand business use cases, design and develop solutions, and present findings
Design solutions to improve data infrastructure and business intelligence to support decision making
Operationalize data processes: provide the team with ad-hoc analysis, dashboards, and reports so that everyone gets a good sense of the state of the workforce
Work out of our Champaign, IL, San Francisco, CA, or Des Moines, IA office

Our Ideal Candidate:

Current enrollment in a Bachelor, Masters or PhD program (anticipated graduation in 2020) pursuing Statistics, Mathematics, Computer Science, Engineering or analytical field
Strong analytical skills and experience with analytics tools (Excel, GoogleSheets, SQL, R, Python, Tableau, and other statistical or data analysis packages)
Exceptional communication and presentation skills
Team player mindset that takes ownership for a collective outcome and helps others along the way
Available to work 40 hours per week
Goal-oriented and self-motivated, with strong interpersonal skills
Comfortable in a fast-paced environment

Who We Are:
Granular combines the leadership and innovation of experienced entrepreneurs, advisors, and investors with the meaningful insights of farmers, agronomists, data scientists and engineers.

Our internal team has the rebellious, innovative business and technical acumen that defines Silicon Valley; this expertise has produced products including Granular Business ( https://granular.ag/farm-management-software/ ), Granular Agronomy ( https://granular.ag/agronomy/ ), AcreValue ( https://granular.ag/acrevalue/ ), and AgStudio.

Founded in February 2014, and backed by leading VC's like Andreessen Horowitz and Google Ventures, Granular is an independent subsidiary of Corteva, a spin off of DowDuPont™. We currently have offices in San Francisco, CA, Champaign, IL, Des Moines, IA and Cumming, GA. Learn more about our company and people here! ( https://drive.google.com/file/d/1BTtVwj9VOg3M1_y8AUDuVl3wifk5AhKB/view )",Data Analyst Intern
"Foster City, CA",BayInfotech,"ContractJob SummaryThis resource to support API/Metadata/DQ business requirements with the following responsibilities.SME on OBIEE/BI reports and Finance domain knowledge (procurement, revenue, expense, etc.)Analytical and be able to document business use cases and user requirementsDocument test scenarios to verify workflow, data quality dashboard, metrics, metadata UIPublish user training documents for DQ, Metadata, and APIData modeling and Tableau report background – optional.Job Type: ContractExperience:API: 2 years (Preferred)Obiee: 3 years (Preferred)",Data Analyst
"Edison, NJ","Baanyan Software Services, Inc","$60,000 - $65,000 a yearContractJob SummarySkills/Knowledge[ We are only looking for those who can work on W2]1-2 years in a Solution Development role (enabling the technical design, development and implementation or support of business systems).Master's Degree in technology or information systems or equivalent work experience.Good verbal and written technical communication skills.Strong experience with data warehouse and data transformation solutions .Strong SQL skills required.Proficient with various testing concepts and debugging tools.Thorough understanding of source code management tools and conceptsImplementing ETL solutions using Java and UNIX shell scripts.Understanding and working knowledge of the systems development life cycle including complementary software development methods such as Agile/Scrum.Able to collaborate within a fast-paced environment. Able to adapt easily to changing requirements and prioritiesDemonstrated technical proficiency in the design and implementation of applications and systems of low to medium level of complexity.The following skills are a plus:Knowledge of BI tools (Cognos, Tableau, Power BI)Hadoop ecosystem (Hive, Spark, NoSQL/HBase) based ETL experienceSome familiarity with DevOps concepts and toolsKnowledge of industry standard middleware, ETL, master data hub, and service-oriented architecture, design and delivery solutionsKnowledge of Snowfake DB, Azure or other data warehouses built in the cloudKnowledge of Data Science and Machine learning tools – R Studio, Python and AnacondaJob Types: Full-time, ContractSalary: $60,000.00 to $65,000.00 /year",Data Analyst
"San Francisco, CA 94103",Wish,"Data driven decision-making is an integral part of life at Wish. It drives our success with customers and merchants. We’re looking for a talented Data Analyst with supply chain experience to continue to drive decisions company-wide through the use of statistical modeling and machine learning.

You will enjoy working with one of the richest social e-commerce data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. You should have an extensive background in a quantitative field, a strong research background, and experience working with large data sets. You should be results-driven, highly motivated, and have a track record of using data analytics to drive the understanding, growth, and the success of a product.
What you'll do:
Apply your expertise in quantitative analysis, data mining, machine learning, and the presentation of data to see beyond the numbers and understand how our users interact with our products.
Partner with Engineering and Operations teams to solve problems and identify trends and opportunities.
Work alongside the Product Managers on the Product team to analyze the results of A/B experiments.
Make recommendations on new experiments to run based on the data, and work alongside the engineering team to make sure features are engineered with data tracking in mind.
Inform, influence, support, and execute our product decisions, product launches, and business strategies.
Who you are:
4+ years experience doing quantitative analysis, preferably for a web or mobile company
BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field
Experience in SQL or other query languages. Development experience in at least one scripting language (PHP, Python, Perl, etc.)
Understanding of statistics and machine learning techniques (e.g., hypothesis testing, regressions, decision trees, clustering, etc.)
Experience manipulating data sets through statistical software (ex. R, SAS) or other methods
Experience with distributed computing (Hive/Hadoop)
Experience with data visualization",Data Analyst
Unknown,Unknown,"Fora Financial, located in NYC, is a leading financial services company providing working capital to small and mid-size businesses nationwide.

Established in 2008, we support small businesses in need of financing to sustain or grow their enterprise by providing innovative, customized, and flexible working capital solutions. We operate through a consultative approach, listening to customers and providing what best meets their needs in an ever-changing financial market. To date, Fora Financial has funded over 30,000 individual transactions to more than 20,000 unique customers. The company has supplied over $1.3 billion in working capital solutions for small businesses since its inception.
A Day in the Life of a Junior Data Analyst:
This position will require strong SQL programming skills to write SQL queries, gather data and provide analytical support to senior management across the organization
Develop an understanding of all the data contained in multiple databases
Help to build an infrastructure to ensure data integrity across the organization
Work with stakeholders from all departments to define metrics, capture data and build informative dashboards and reporting
Partner with IT team to facilitate and support Enterprise-wide data quality improvement intitiatives
What You Have:
Bachelor's degree in Computer Science, Engineering, Statistics, Mathematics or related field
At least 2 years of professional work experience as a Data Analyst or in an analytical role
Proficiency in writing and understanding SQL queries
Ability to develop SQL code as needed to extract and manipulate data
Advanced level of MS Excel skills, including advanced formulas, VBA, Macros and data tables
In depth understanding of data collection, data flow management, data manipulation, data archiving and data standards
The Benefits of Working for Fora Financial:
Competitive Base Salary
Comprehensive Product and Industry Training
Medical, Dental, Vision Coverage
401K Match
Life Insurance at No Cost to Employees
Generous Time Off Plan Including Rollover Vacation Days
Commuter Benefits
Health Care and Dependent Care Flexible Spending",Junior Data Analyst
"San Francisco, CA 94103",Glu Mobile,"Senior Data AnalystAs a Senior Data Analyst, you will be the analytical data partner for our game studios. You will work closely with Game Designers & Product Managers to transform subjective discussions about product into concise analytic questions that deliver actionable answers. You will take a leadership role in managing studio relationships, mentoring junior analysts & shaping the evolution of our analytics infrastructure. This is a high visibility role that will have a direct impact on the success of some of our biggest titles.*What You’ll Be Doing*Working with game teams to measure and optimize performance of titles in beta and after worldwide launch.Using state of the art big data technology, such as Hadoop or HP Vertica, to sift through billions of rows of data to answer challenging business questions.Helping design and analyze AB and multivariate experiments.Using Tableau to build dashboards that allow game teams to self serve custom data for their titles.Collaborating with game team to define telemetry of titles.Continuously learn new technologies that advance analytic function at Glu (e.g. R, D3, Python, etc…)*You’ll Be a Great Fit If You Have*5+ years experience as analyst, data scientist, or related quantitative role.High proficiency with SQL or HiveQL.Comfortable in UNIX, Python.Understanding of statistical analysis and familiarity with core statistical functions.Excellent presentation and communication skills.Passion for aggressively finding opportunity in data.*Extra Bonus Points If You Have*Passion for gaming.Experience with Hadoop, HP Vertica, and other big data technologies.Experience with modern programming languages (e.g. python, javascript, perl)Experience with statistical packages such as R or SAS.Predictive analytics or machine learning experience.Mentoring/management experience.All qualified applicants will receive consideration for employment. Glu is an equal opportunity employer committed to diversity in the workplace. We welcome people of different backgrounds and experiences to ensure a diverse and inclusive workplace.Job Type: Full-timeExperience:Python: 3 years (Required)AB Testing: 5 years (Required)SQL: 5 years (Required)Additional Compensation:BonusesBenefits offered:Paid time offHealth insuranceDental insuranceOther types of insuranceParental leaveGym memberships or discountsCommuting/travel assistanceFlexible schedulesWorkplace perks such as food/coffee and flexible work schedulesOthers",Sr. Data Analyst
"Mountain View, CA",Google,"Note: By applying to this position your application is automatically submitted to the following locations: Boulder, CO, USA; Mountain View, CA, USA

Minimum qualifications:
Bachelor's degree or equivalent practical experience.

2 years of experience in an analytical field.

2 years of experience at a management consulting firm or on a corporate strategy team.

Experience with programming languages and analysis tools.

Preferred qualifications:
Master's degree in Engineering or a technical/scientific field.

3 years of experience in a consumer-internet, web analytics, or related analytics role.

Ability to understand the implications of data analysis.

Effective data analysis skills in a business context, with the ability to present large data sets in a clear and compelling manner.

Demonstrable organizational and project management, and prioritization skills.
About the job
At gTech’s Users and Products team (gUP), our mission is to help users get the most out of Google. We represent the voice of Google's users and many of our partners globally, sharing insights with the larger Google organization to enable exceptional customer and product experiences.

gUP builds innovative solutions that take user experience and engagement with Google to the next level, supporting users across products, countries, cultures, incomes, and identities. We advocate for users through partnerships with product areas at Google (and some Alphabet businesses), supporting Google’s consumer products ecosystem and enabling numerous launches for Google’s consumer products each year.

We are committed to building an ever more diverse, equitable, and inclusive gUP, and consider this the foundation upon which individual, team, and user success are built. We're also committed to innovation not only in the content of our work, but in the way we work. Check out this blog post on our Chameleon program.
Google creates products and services that make the world a better place, and gTech’s role is to help bring them to life. Our teams of solution-oriented trusted advisors support millions of customers globally. Our solutions are rooted in our technical skill, product expertise, and a thorough understanding of our customers’ complex needs. Whether the answer is a bespoke solution to solve a unique problem, or a new tool that can scale across Google, everything we do aims to ensure our customers benefit from the full potential of Google products.

To learn more about gTech, check out our video . Responsibilities

Represent the user voice by analyzing data on top user issues across users support touch points (Help Center, user feedback, live support, social media, etc.).

Model data in order to create quantitative models to measure how support initiatives help drive user success with the product.

Design, develop, and complete analyses for regular user insights and strategic deep dives.

Scale operation and support processes through data insights and reporting automation.

Build consensus by facilitating broad collaboration with clear communication and documentation.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form .","Data Analyst, Users and Products"
"Chicago, IL 60610",Drivin,"Love cars, technology and data? So do we. KAR Auction Services (NYSE: KAR) is a global Fortune 700 company headquartered in the Indianapolis suburb of Carmel, Indiana, with 18,000 employees across the United States, Canada, Mexico and the United Kingdom. Our diverse team helps the world's largest automotive manufacturers, financial institutions, insurance companies and dealer groups buy, sell and trade used vehicles. DRIVIN is our Chicago-based innovation and Data Science hub—where our team of data scientists and analysts create new products and help power the sale of more than 5.95 million units valued at over $40 billion through our physical, online, and digital/mobile auction marketplaces.We move quickly, and we're looking for go-getters that are addicted to the thrill of creating new products and features and diving deep into rich data. Sound like you? We’re looking for a Data Analyst to roll up their sleeves and help transform one of the largest, most dynamic industries in the world.Job Description SummaryAt our core, we are an analytics company. The insights we gain from our analyses guide our strategic path forward as we grow revenue, enter new markets, and strengthen our customer relationships. The Analytics team proactively leads and collaborates to identify the most valuable problems to solve, constructs a Roadmap to delivery, and executes our plan. The team is looking for a Data Analyst with adept technical skills, high analytical prowess and exceptional delivery of output. The Data Analyst role will champion current and future data solutions, all while delivering and automating the best insights possible to both internal stakeholders and customers alike.ResponsibilitiesDesign SQL scripts to directly query and analyze internal and external data sources to package together clear, actionable findingsProvide timely, valuable solutions for ad hoc analyses via SQL with a focus to detail on crafting scripts that can be easily manipulated to efficiently address similar future analysesOwn the design of advanced analytics dashboards and KPI reports in our BI tool starting from requirements gathering across sales, product and senior leadership teams to the delivery of a final, polished reports in productionGrow to serve as the team’s subject matter expert for advanced analytics and report design, offering insights and suggestions on what potential problems the team should be solvingWork closely with Product and Operations teams and support their analysis and data needsBe a data evangelist, working across the company to understand how our data outputs affect different groups and identify areas where our team can provide additional valueWork closely with the Data Science team to deliver actionable insights to the organization.QualificationsBachelor’s degree from an accredited institution.3 to 5 years of experience in an analytical role with a heavy focus on querying data, analyzing and clearly presenting analyses to stakeholders across the organization.High SQL aptitude, experience working within Python a plus.Experience with Google Analytics, Google Tag Manager a plus.Experience designing reports and dashboards Tableau, or equivalent BI product.Ability to clearly explain findings from complex analyses in case studies and presentations.Previous experience on a data team in an agile environment preferred.A flexible, collaborative teammate with the ability to deliver both high level explanations of complex problems while also able to deep dive into complex problemsConfidence, hustle, energy, and drive – accountability is key and the impact of your work is crucial to our successJob Type: Full-timeExperience:Python: 2 years (Required)analytical role: 3 years (Required)Google Analytics: 2 years (Preferred)SQL: 2 years (Required)Location:Chicago, IL (Required)Work authorization:United States (Required)",Data Analyst
"Kansas City, MO",Schenck Process,"Job Summary: This position works with management to provide analysis and reporting for insight to improve Bookings and Revenue. Determine and define new process improvement opportunities. Job duties include:

Interpret ERP data, analyze results using statistical techniques and provide ongoing reports.
Create adhoc reports and queries to analyze data.
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.
Retrieve data from ERP system sources and maintain database & reports for ongoing analysis of the business activity.
Identify, analyze and interpret trends or patterns in complex data sets to understand our markets.
Filter and refine data by reviewing ERP reports.
Work with management to prioritize business and information needs.
Locate and define new process improvement opportunities.
Pricing Analysis – Perform pricing reviews, monitor price variances/discounts, and maintain pricing tools for the Aftermarket group. Identify products for cost.
Reductions and price adjustments to encourage a higher sale, conversion rates, and customer satisfaction. Implement a price request system.
Intern Creation – Audit new item creation by other groups to ensure they have the proper description (internal and external), product hierarchy codes, spare part designations, lead-times, costs, and prices.
Project Spare Parts Lists – Develop and maintain tools, templates and processes to reduce the time and improve the accuracy of Project Spare Parts Lists.
Collaborate with Projects, Engineering, Purchasing, and Suppliers to ensure the critical and maintenance spares are included on Project spare part Lists.
Some travel will be required to other SPG offices and customers.
Educational/Training Requirements:

BS in Mathematics, Economics, Computer Science, Information Management or Statistics.
Proven working experience as a data analyst or business data analyst.
Technical expertise regarding data models, database design development, data mining and segmentation techniques.
Strong knowledge and experience with reporting packages MS Products and SAP.
Knowledge of statistics and experience using statistical packages for analyzing Datasets (SQL Excel, etc.)
Strong analytical skills with the ability to collect organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Adept at queries, report writing and presenting findings.
For consideration, please email resume & cover letter to: hr@schenckprocess.com",Business Intelligence Analyst
Unknown,Unknown,"Part-time, InternshipABOUT GANNETT

Gannett Co., Inc. (NYSE: GCI) is an innovative, digitally focused media and marketing solutions company committed to strengthening communities across our network. With an unmatched local-to-national reach, Gannett touches the lives of more than 110 million people monthly with our Pulitzer-Prize winning content, consumer experiences and benefits, and advertiser products and services. Gannett brands include USA TODAY NETWORK with the iconic USA TODAY and more than 100 local media brands, digital marketing services companies ReachLocal and SweetIQ, and U.K. media company Newsquest. To connect with us, visit www.gannett.com.

About Our Team

Data Platform team manages a large Data Lake built on AWS cloud. It is responsible for ingesting small / medium / large data sets from internal and external data sources and enable unified access to its stakeholders such as Business Intelligence team, consumer marketing team, and product management team. Data Platform team’s technical stack includes

Data Platform team manages a large Data Lake built on AWS cloud. It is responsible for ingesting small / medium / large data sets from internal and external data sources and enable unified access to its stakeholders such as Business Intelligence team, consumer marketing team, and product management team. Data Platform team’s technical stack includes


Big Data - Apache Spark, Hadoop, Presto, Apache Hive, Google BigTable
Data Warehouse - Redshift, Redshift Spectrum, Google BigQuery
Workflow - Apache Airflow
Languages - Scala, Python, and Java

Responsibilities


Collaborate with Data Engineers on a daily basis using tools such as GitHub, Confluence, and JIRA
Learn Apache Airflow tool and help migrate all workflows to Apache Airflow
Help develop enhancements to our existing Data Mapping tool to allow stakeholders to map critical data entities
Help develop a Data Quality tool that gathers and reports critical metrics on workflows

#INTERNSHIP
#LI-AR1

Gannett Co., Inc. (NYSE: GCI) is a proud equal opportunity employer. We are a drug free, EEO employer committed to a diverse workforce. We will consider all qualified candidates regardless of race, color, national origin, sex, age, marital status, personal appearance, sexual orientation, gender identity, family responsibilities, disability, education, political affiliation or veteran status. Connect with us on LinkedIn, Twitter, Facebook, Glassdoor, Indeed& TheMuse to learn more about our dynamic company culture!",Data Analyst Intern
"San Francisco, CA 94107",Granular,"InternshipMore than 7 billion people depend on farms for healthy and affordable food. By 2050, the global population will reach 9.4 billion and farmers will need new ways to deliver on this demand. They'll be seeking options that are economically viable and that will help them remain environmentally sustainable. Granular's software meets this need, making farmers more efficient.

We're growing quickly and looking for a Summer Intern to build out a database on our high-achieving and fast-moving employees. In this role, you'll be responsible for supporting the entire People Operations (POPs) team, by researching and creating resources around workforce data and information.

Your main responsibility will be to organize existing company data and produce recommendations that will have a measurable impact on Granular. You'll receive a list of potential projects from the POPs team to evaluate. With this project list, it'll be your responsibility to better understand each problem by discussing with the relevant stakeholders. After assessing the needs of the stakeholders, you'll be responsible for the full cycle of development from initial data exploration to (if applicable) putting a model into production. (During the cycle, you'll receiving coaching from POPs managers and some support from our awesome Data Science team.)

Additionally, you may identify, research, and develop solutions for employee knowledge and skills gaps. You'll work with the Learning & Development manager, while collaborating with other managers, to gather data, design visualizations and present recommendations. For this work, you'll need to be an energetic, positive, creative, and performance-driven self-starter who can work independently.

What You'll Get To Do:

Support our POPs team by collecting, researching, and analyzing current data on employee engagement, choices, performance, and skills
Partner with internal stakeholders to understand business use cases, design and develop solutions, and present findings
Design solutions to improve data infrastructure and business intelligence to support decision making
Operationalize data processes: provide the team with ad-hoc analysis, dashboards, and reports so that everyone gets a good sense of the state of the workforce
Work out of our Champaign, IL, San Francisco, CA, or Des Moines, IA office

Our Ideal Candidate:

Current enrollment in a Bachelor, Masters or PhD program (anticipated graduation in 2020) pursuing Statistics, Mathematics, Computer Science, Engineering or analytical field
Strong analytical skills and experience with analytics tools (Excel, GoogleSheets, SQL, R, Python, Tableau, and other statistical or data analysis packages)
Exceptional communication and presentation skills
Team player mindset that takes ownership for a collective outcome and helps others along the way
Available to work 40 hours per week
Goal-oriented and self-motivated, with strong interpersonal skills
Comfortable in a fast-paced environment

Who We Are:
Granular combines the leadership and innovation of experienced entrepreneurs, advisors, and investors with the meaningful insights of farmers, agronomists, data scientists and engineers.

Our internal team has the rebellious, innovative business and technical acumen that defines Silicon Valley; this expertise has produced products including Granular Business ( https://granular.ag/farm-management-software/ ), Granular Agronomy ( https://granular.ag/agronomy/ ), AcreValue ( https://granular.ag/acrevalue/ ), and AgStudio.

Founded in February 2014, and backed by leading VC's like Andreessen Horowitz and Google Ventures, Granular is an independent subsidiary of Corteva, a spin off of DowDuPont™. We currently have offices in San Francisco, CA, Champaign, IL, Des Moines, IA and Cumming, GA. Learn more about our company and people here! ( https://drive.google.com/file/d/1BTtVwj9VOg3M1_y8AUDuVl3wifk5AhKB/view )",Data Analyst Intern
"Foster City, CA",BayInfotech,"ContractJob SummaryThis resource to support API/Metadata/DQ business requirements with the following responsibilities.SME on OBIEE/BI reports and Finance domain knowledge (procurement, revenue, expense, etc.)Analytical and be able to document business use cases and user requirementsDocument test scenarios to verify workflow, data quality dashboard, metrics, metadata UIPublish user training documents for DQ, Metadata, and APIData modeling and Tableau report background – optional.Job Type: ContractExperience:API: 2 years (Preferred)Obiee: 3 years (Preferred)",Data Analyst
"Edison, NJ","Baanyan Software Services, Inc","$60,000 - $65,000 a yearContractJob SummarySkills/Knowledge[ We are only looking for those who can work on W2]1-2 years in a Solution Development role (enabling the technical design, development and implementation or support of business systems).Master's Degree in technology or information systems or equivalent work experience.Good verbal and written technical communication skills.Strong experience with data warehouse and data transformation solutions .Strong SQL skills required.Proficient with various testing concepts and debugging tools.Thorough understanding of source code management tools and conceptsImplementing ETL solutions using Java and UNIX shell scripts.Understanding and working knowledge of the systems development life cycle including complementary software development methods such as Agile/Scrum.Able to collaborate within a fast-paced environment. Able to adapt easily to changing requirements and prioritiesDemonstrated technical proficiency in the design and implementation of applications and systems of low to medium level of complexity.The following skills are a plus:Knowledge of BI tools (Cognos, Tableau, Power BI)Hadoop ecosystem (Hive, Spark, NoSQL/HBase) based ETL experienceSome familiarity with DevOps concepts and toolsKnowledge of industry standard middleware, ETL, master data hub, and service-oriented architecture, design and delivery solutionsKnowledge of Snowfake DB, Azure or other data warehouses built in the cloudKnowledge of Data Science and Machine learning tools – R Studio, Python and AnacondaJob Types: Full-time, ContractSalary: $60,000.00 to $65,000.00 /year",Data Analyst
"San Francisco, CA 94103",Wish,"Data driven decision-making is an integral part of life at Wish. It drives our success with customers and merchants. We’re looking for a talented Data Analyst with supply chain experience to continue to drive decisions company-wide through the use of statistical modeling and machine learning.

You will enjoy working with one of the richest social e-commerce data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. You should have an extensive background in a quantitative field, a strong research background, and experience working with large data sets. You should be results-driven, highly motivated, and have a track record of using data analytics to drive the understanding, growth, and the success of a product.
What you'll do:
Apply your expertise in quantitative analysis, data mining, machine learning, and the presentation of data to see beyond the numbers and understand how our users interact with our products.
Partner with Engineering and Operations teams to solve problems and identify trends and opportunities.
Work alongside the Product Managers on the Product team to analyze the results of A/B experiments.
Make recommendations on new experiments to run based on the data, and work alongside the engineering team to make sure features are engineered with data tracking in mind.
Inform, influence, support, and execute our product decisions, product launches, and business strategies.
Who you are:
4+ years experience doing quantitative analysis, preferably for a web or mobile company
BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field
Experience in SQL or other query languages. Development experience in at least one scripting language (PHP, Python, Perl, etc.)
Understanding of statistics and machine learning techniques (e.g., hypothesis testing, regressions, decision trees, clustering, etc.)
Experience manipulating data sets through statistical software (ex. R, SAS) or other methods
Experience with distributed computing (Hive/Hadoop)
Experience with data visualization",Data Analyst
"New York, NY 10018",Fora Financial LLC,"Fora Financial, located in NYC, is a leading financial services company providing working capital to small and mid-size businesses nationwide.

Established in 2008, we support small businesses in need of financing to sustain or grow their enterprise by providing innovative, customized, and flexible working capital solutions. We operate through a consultative approach, listening to customers and providing what best meets their needs in an ever-changing financial market. To date, Fora Financial has funded over 30,000 individual transactions to more than 20,000 unique customers. The company has supplied over $1.3 billion in working capital solutions for small businesses since its inception.
A Day in the Life of a Junior Data Analyst:
This position will require strong SQL programming skills to write SQL queries, gather data and provide analytical support to senior management across the organization
Develop an understanding of all the data contained in multiple databases
Help to build an infrastructure to ensure data integrity across the organization
Work with stakeholders from all departments to define metrics, capture data and build informative dashboards and reporting
Partner with IT team to facilitate and support Enterprise-wide data quality improvement intitiatives
What You Have:
Bachelor's degree in Computer Science, Engineering, Statistics, Mathematics or related field
At least 2 years of professional work experience as a Data Analyst or in an analytical role
Proficiency in writing and understanding SQL queries
Ability to develop SQL code as needed to extract and manipulate data
Advanced level of MS Excel skills, including advanced formulas, VBA, Macros and data tables
In depth understanding of data collection, data flow management, data manipulation, data archiving and data standards
The Benefits of Working for Fora Financial:
Competitive Base Salary
Comprehensive Product and Industry Training
Medical, Dental, Vision Coverage
401K Match
Life Insurance at No Cost to Employees
Generous Time Off Plan Including Rollover Vacation Days
Commuter Benefits
Health Care and Dependent Care Flexible Spending",Junior Data Analyst
"Bronx, NY",Montefiore Medical Center,"Creates, generates and analyzes statistical reports to track and measurevarious clinical functions. Troubleshoots hardware and softwareproblems, maintains databases, and provides standing and ad hoc reportsas required.

Department: Neurosurgery Bargaining Unit: Non Union Campus: MOSES Employment Status: Regular Full-Time Address: 3316 Rochambeau Ave, Bronx
Shift: Day Scheduled Hours: 8:30 AM-5 PM Req ID: 98463

Montefiore is an equal employment opportunity employer. Montefiore will recruit, hire, train, transfer, promote, layoff and discharge associates in all job classifications without regard to their race, color, religion, creed, national origin, alienage or citizenship status, age, gender, actual or presumed disability, history of disability, sexual orientation, gender identity, gender expression, genetic predisposition or carrier status, pregnancy, military status, marital status, or partnership status, or any other characteristic protected by law.

N/A",DATA ANALYST
